stringOffset,value
802883,"System.Collections.Generic.IDictionary<TKey,TValue>.get_Item"
802944,"System.Collections.Generic.IDictionary<TKey,TValue>.set_Item"
803005,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Clear"
803120,System.Collections.IDictionary.Clear
803170,"System.Collections.Generic.IDictionary<TKey,TValue>.Keys"
803227,"System.Collections.Generic.IDictionary<TKey,TValue>.Values"
803286,"System.Collections.Generic.IDictionary<TKey,TValue>.Item"
803355,System.Collections.Generic.ICollection<TKey>.Add
803404,System.Collections.Generic.ICollection<TKey>.Clear
803455,System.Collections.Generic.ICollection<TKey>.Contains
803509,System.Collections.Generic.ICollection<TKey>.get_IsReadOnly
803569,System.Collections.Generic.ICollection<TKey>.Remove
803621,_collection
803633,System.Collections.Generic.ICollection<TKey>.IsReadOnly
803689,System.Collections.Generic.ICollection<TValue>.Add
803740,System.Collections.Generic.ICollection<TValue>.Clear
803793,System.Collections.Generic.ICollection<TValue>.Contains
803849,System.Collections.Generic.ICollection<TValue>.get_IsReadOnly
803911,System.Collections.Generic.ICollection<TValue>.Remove
803965,System.Collections.Generic.ICollection<TValue>.IsReadOnly
804049,CopyToNonGenericICollectionHelper
804101,System.Collections.Generic
804289,System.Collections.IDictionaryEnumerator.get_Entry
804340,System.Collections.IDictionaryEnumerator.get_Key
804389,System.Collections.IDictionaryEnumerator.get_Value
804462,System.Collections.IDictionaryEnumerator.Entry
804509,System.Collections.IDictionaryEnumerator.Key
804554,System.Collections.IDictionaryEnumerator.Value
804601,System.Collections.Generic.IEnumerable<TKey>.GetEnumerator
804660,System.Collections.Generic.IEnumerable<TValue>.GetEnumerator
804721,ICollection`1
804735,ICollectionDebugView`1
804784,DictionaryKeyCollectionDebugView`2
804819,DictionaryValueCollectionDebugView`2
804912,IReadOnlyCollection`1
805345,LowLevelDictionary`2
805421,CollectionExtensions
805602,CollectionDebugView`1
805646,LowLevelList`1
805661,LowLevelListWithIList`1
805965,System.Collections.IEqualityComparer.GetHashCode
806014,System.Collections.IEqualityComparer.Equals
817355,YogaLogLevel
823066,StartTracking
823080,StopTracking
823139,StartTrackingRecursive
823162,StopTrackingRecursive
823249,PerformTrackingOperations
824248,StartClickTracking
824282,CancelClickTracking
826630,CollectionViewController
826786,collectionView
827533,System.Collections.Generic.IEnumerator<System.Int32>.get_Current
827598,System.Collections.Generic.IEnumerable<System.Int32>.GetEnumerator
827734,System.Collections.Generic.IEnumerator<System.Int32>.Current
827882,CollectionVirtualizationController
829778,ReusableCollectionItem
831231,m_CollectionView
832671,get_showBoundCollectionSize
832699,set_showBoundCollectionSize
833317,m_ShowBoundCollectionSize
834135,showBoundCollectionSize
834802,get_trackElement
834819,set_trackElement
836225,<trackElement>k__BackingField
836580,trackerUssClassName
836691,trackElement
837356,CollectionVirtualizationMethod
837460,BaseVerticalCollectionView
840653,System.Collections.Generic.IEnumerator<System.Object>.get_Current
840719,System.Collections.Generic.IEnumerable<System.Object>.GetEnumerator
840810,System.Collections.Generic.IEnumerator<System.Object>.Current
849979,get_collection
849994,set_collection
850387,<collection>k__BackingField
865022,ICollectionDragAndDropController
881251,StylePropertyNameCollection
881279,System.Collections.Generic.IEnumerable<UnityEngine.UIElements.StylePropertyName>.GetEnumerator
897596,ApplyPackingRotation
925460,StyleValueCollection
926804,UpdateTracking
940882,UIElementsPackageUtility
940907,get_IsUIEPackageLoaded
940930,set_IsUIEPackageLoaded
941009,<IsUIEPackageLoaded>k__BackingField
941086,IsUIEPackageLoaded
948104,System.Collections.Generic.IEnumerator<UnityEngine.UIElements.StyleSheet>.get_Current
948190,System.Collections.Generic.IEnumerable<UnityEngine.UIElements.StyleSheet>.GetEnumerator
948375,System.Collections.Generic.IEnumerator<UnityEngine.UIElements.StyleSheet>.Current
948489,System.Collections.Generic.IEnumerator<UnityEngine.UIElements.VisualTreeAsset>.get_Current
948580,System.Collections.Generic.IEnumerable<UnityEngine.UIElements.VisualTreeAsset>.GetEnumerator
948695,System.Collections.Generic.IEnumerator<UnityEngine.UIElements.VisualTreeAsset>.Current
951830,BaseVisualTreeHierarchyTrackerUpdater
951969,TrackingAddOrMove
951987,TrackingRemove
955605,WriteRawInt2Packed
955633,WriteRawFloat4Packed
958427,m_DirtyTracker
959307,DepthOrderedDirtyTracking
977459,MultiColumnCollectionHeader
984910,xmlCharType
985819,SurrogateCharToUtf32
985867,ConformanceLevel
986656,indentLevel
992438,trackTextContent
992641,currentConformanceLevel
992710,conformanceLevel
993863,get_ConformanceLevel
993884,set_ConformanceLevel
997661,ParseRootLevelWhitespace
1001347,ResetAttributesRootLevel
1005952,CharToUTF8
1006359,schemaCollection
1007345,TopLevel
1007403,RootLevelAttr
1007417,RootLevelSpecAttr
1007435,RootLevelB64Attr
1007452,AfterRootLevelAttr
1007654,StartRootLevelAttr
1011353,XmlAttributeCollection
1011757,System.Collections.IEnumerator.MoveNext
1016123,nLogLevel
1016356,ReadAtZeroLevel
1016988,get_ParsingTopLevelMarkup
1018659,ParsingTopLevelMarkup
1019683,XmlCharType
1024375,collectionType
1025136,get_NestingLevel
1025173,nestingLevel
1025206,NestingLevel
1027109,XmlSerializationCollectionFixupCallback
1027149,collectionItems
1027369,CreateReadOnlyCollectionException
1028283,CollectionFixup
1028312,get_Collection
1028327,get_CollectionItems
1028347,set_CollectionItems
1028367,Collection
1028378,CollectionItems
1028406,CollectionItemFixup
1029367,TopLevelElement
1029909,topLevelElement
1031181,set_NestingLevel
1031418,_nestingLevel
1035486,get_SchemaCollection
1035681,SchemaCollection
1043576,positionWithinCollection
1047905,SchemaCollectionCompiler
1049631,SchemaCollectionPreprocessor
1063408,XmlSchemaCollection
1063501,XmlSchemaCollectionNode
1063579,XmlSchemaCollectionEnumerator
1066975,XmlSchemaObjectCollection
1067111,ValuesCollection
1069494,TopLevelAttribute
1069512,TopLevelTextOrWS
1072963,ICollectionType
1081282,_xmlCharType
1095998,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,System.String>>.get_Current"
1096119,"System.Collections.Generic.IEnumerable<System.Collections.Generic.KeyValuePair<System.String,System.String>>.GetEnumerator"
1096275,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,System.String>>.Current"
1104507,CaptureCollection
1104525,System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Capture>.GetEnumerator
1104646,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.IndexOf
1104727,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.Insert
1104807,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.RemoveAt
1104889,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.get_Item
1104971,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.set_Item
1105053,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Add
1105136,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Clear
1105221,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Contains
1105309,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Remove
1105422,System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.Item
1105500,CollectionDebuggerProxy`1
1105580,GroupCollection
1105615,System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Group>.GetEnumerator
1105728,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.IndexOf
1105807,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.Insert
1105885,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.RemoveAt
1105965,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.get_Item
1106045,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.set_Item
1106125,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Add
1106206,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Clear
1106289,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Contains
1106375,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Remove
1106486,System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.Item
1106832,MatchCollection
1106866,System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Match>.GetEnumerator
1106966,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.IndexOf
1107045,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.Insert
1107123,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.RemoveAt
1107203,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.get_Item
1107283,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.set_Item
1107363,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Add
1107444,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Clear
1107527,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Contains
1107613,System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Remove
1107732,System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.Item
1109604,trackcount
1109641,OpcodeBacktracks
1110028,TrackCount
1110435,InitTrackCount
1110464,Trackto
1110490,Trackpos
1110499,TrackPush
1110512,TrackPush2
1110523,Backtrack
1110545,TrackPop
1110564,TrackPeek
1112484,DoubleTrack
1112640,runtrack
1112649,runtrackpos
1112703,runtrackcount
1113073,_trackCount
1113317,s_LastCollectionCount
1113339,SwitchLevelAttribute
1113360,switchLevelType
1113376,set_SwitchLevelType
1113396,SwitchLevelType
1113761,get_IndentLevel
1113840,IndentLevel
1113863,TraceLevel
1113905,set_IndentLevel
1114120,TraceListenerCollection
1115075,ProcessModuleCollection
1115099,ProcessThreadCollection
1115914,ReadCollectionWithTag
1116582,OidCollection
1119800,X509Certificate2Collection
1120222,X509CertificateCollection
1120283,X509CertificateImplCollection
1120539,X509ChainElementCollection
1120726,get_CertificateCollection
1120767,SelectBestFromCollection
1121316,CertificateCollection
1121873,X509ExtensionCollection
1122560,ComponentCollection
1123478,AttributeCollection
1123867,CollectionChangeAction
1123890,CollectionChangeEventArgs
1123977,CollectionChangeEventHandler
1124924,EventDescriptorCollection
1127038,PropertyDescriptorCollection
1127933,IChangeTracking
1127987,IRevertibleChangeTracking
1128196,CollectionConverter
1128500,CreateAttributeCollection
1128579,attributeCollection
1130483,StandardValuesCollection
1133121,System.Collections.Specialized
1133186,NameValueCollection
1133506,OrderedDictionaryKeyValueCollection
1133542,StringCollection
1133559,INotifyCollectionChanged
1133584,NotifyCollectionChangedAction
1133614,NotifyCollectionChangedEventArgs
1133872,NotifyCollectionChangedEventHandler
1133921,NameObjectCollectionBase
1134701,CompressionLevel
1134942,compressionLevel
1146486,WebHeaderCollectionType
1146636,WebHeaderCollection
1146679,get_InnerCollection
1146998,m_InnerCollection
1147046,InnerCollection
1147532,m_AuthenticationLevel
1147554,m_ImpersonationLevel
1150434,CookieCollection
1150600,CookieCollectionEnumerator
1150708,ExpireCollection
1150833,BuildCookieCollectionFromDomainMatches
1150884,MergeUpdateCollections
1156619,cookieCollection
1165195,IPProtectionLevel
1165632,RequestCacheLevel
1165741,get_Level
1165751,m_Level
1166415,SetIPProtectionLevel
1166540,optionLevel
1171678,SendPackets
1172421,SocketOptionLevel
1172844,PacketInformation
1172994,Seqpacket
1178789,ValidateAndTrackHeader
1180794,AuthenticationLevel
1182616,BypassElementCollection
1182668,ConnectionManagementElementCollection
1182962,WebRequestModuleElementCollection
1185168,collectionSelector
1185187,TCollection
1197896,collectionSelectorAwaiter
1204810,JsonConverterCollection
1212043,WriteCharToBuffer
1218612,CalculateLevelsToComplete
1218883,LevelsToComplete
1220436,CollectionUtils
1220469,collectionItemType
1220488,ResolveEnumerableCollectionConstructor
1220776,IWrappedCollection
1220795,get_UnderlyingCollection
1220820,UnderlyingCollection
1220841,CollectionWrapper`1
1220877,_genericCollection
1225999,ImmutableCollectionsUtils
1226653,ArrayContractImmutableCollectionDefinitions
1226879,DictionaryContractImmutableCollectionDefinitions
1226928,ImmutableCollectionTypeInfo
1227710,FirstCharToEscape
1229748,GetCollectionItemType
1232507,IsConcurrentOrObservableCollection
1233764,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.Object,System.Object>>.get_Current"
1233885,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.Object,System.Object>>.Current"
1235055,get_LevelFilter
1235071,set_LevelFilter
1235105,<LevelFilter>k__BackingField
1235134,LevelFilter
1235649,get_CollectionItemType
1235933,CreateTemporaryCollection
1235993,<CollectionItemType>k__BackingField
1236070,_genericCollectionDefinitionType
1236146,_genericTemporaryCollectionCreator
1236381,CollectionItemType
1241318,JsonPropertyCollection
1241644,System.Collections.Generic.IEqualityComparer<System.Object>.Equals
1241711,System.Collections.Generic.IEqualityComparer<System.Object>.GetHashCode
1243187,collectionContract
1243689,_rootLevel
1249537,JsonSchemaNodeCollection
1250180,System.Collections.Generic.IEnumerator<U>.get_Current
1250234,System.Collections.Generic.IEnumerable<U>.GetEnumerator
1250311,System.Collections.Generic.IEnumerator<U>.Current
1250736,add_CollectionChanged
1250758,remove_CollectionChanged
1250799,CreateChildrenCollection
1250850,OnCollectionChanged
1251258,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.IndexOf
1251331,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.Insert
1251403,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.RemoveAt
1251477,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.get_Item
1251551,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.set_Item
1251625,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.Add
1251700,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.Clear
1251777,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.Contains
1251857,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.CopyTo
1251935,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.get_IsReadOnly
1252021,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.Remove
1252901,_collectionChanged
1252926,System.Collections.Generic.IList<LC.Newtonsoft.Json.Linq.JToken>.Item
1252996,System.Collections.Generic.ICollection<LC.Newtonsoft.Json.Linq.JToken>.IsReadOnly
1253543,CollectionChanged
1253680,System.Collections.Generic.IEnumerator<LC.Newtonsoft.Json.Linq.JToken>.get_Current
1253763,System.Collections.Generic.IEnumerable<LC.Newtonsoft.Json.Linq.JToken>.GetEnumerator
1253866,System.Collections.Generic.IEnumerator<LC.Newtonsoft.Json.Linq.JToken>.Current
1254133,"System.Collections.Generic.IDictionary<System.String,LC.Newtonsoft.Json.Linq.JToken>.get_Keys"
1254227,"System.Collections.Generic.IDictionary<System.String,LC.Newtonsoft.Json.Linq.JToken>.get_Values"
1254323,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.Add"
1254453,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.Clear"
1254585,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.Contains"
1254720,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.CopyTo"
1254853,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.get_IsReadOnly"
1254994,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.Remove"
1255248,"System.Collections.Generic.IDictionary<System.String,LC.Newtonsoft.Json.Linq.JToken>.Keys"
1255338,"System.Collections.Generic.IDictionary<System.String,LC.Newtonsoft.Json.Linq.JToken>.Values"
1255430,"System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.IsReadOnly"
1255670,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.get_Current"
1255808,"System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,LC.Newtonsoft.Json.Linq.JToken>>.Current"
1256111,JPropertyKeyedCollection
1257248,CharTypes
1265689,get_ImplementsIChangeTracking
1265719,get_ImplementsIRevertibleChangeTracking
1266838,_implementsIChangeTracking
1266865,_implementsIRevertibleChangeTracking
1267351,ImplementsIChangeTracking
1267377,ImplementsIRevertibleChangeTracking
1269920,UDTImplementsIChangeTrackingButnotIRevertible
1271305,RowAlreadyInOtherCollection
1271333,RowAlreadyInTheCollection
1274195,TopLevelTables
1274544,_tableCollection
1274561,_relationCollection
1274703,_fTopLevelTable
1277678,UpdatePropertyDescriptorCollectionCache
1277718,GetPropertyDescriptorCollection
1278080,_rowCollection
1278095,_columnCollection
1278113,_constraintCollection
1278155,_parentRelationsCollection
1278182,_childRelationsCollection
1278737,_propertyDescriptorCollectionCache
1280528,InternalDataCollectionBase
1280771,get_InCollection
1280788,set_InCollection
1280879,CheckCanAddToCollection
1280919,CanBeRemovedFromCollection
1281025,_inCollection
1281054,InCollection
1281076,ConstraintCollection
1281496,_onCollectionChanged
1282003,DataColumnCollection
1282024,get_ColumnsImplementingIChangeTracking
1282063,get_ColumnsImplementingIChangeTrackingCount
1282107,get_ColumnsImplementingIRevertibleChangeTrackingCount
1282222,CheckIChangeTracking
1282266,OnCollectionChanging
1282357,AddColumnsImplementingIChangeTrackingList
1282399,RemoveColumnsImplementingIChangeTrackingList
1282494,_columnsImplementingIChangeTracking
1282530,_nColumnsImplementingIChangeTracking
1282567,_nColumnsImplementingIRevertibleChangeTracking
1282614,CollectionChanging
1282655,ColumnsImplementingIChangeTracking
1282690,ColumnsImplementingIChangeTrackingCount
1282730,ColumnsImplementingIRevertibleChangeTrackingCount
1284248,DataRelationCollection
1284315,_onCollectionChangedDelegate
1284344,_onCollectionChangingDelegate
1284374,DataTableRelationCollection
1284402,fParentCollection
1284525,_fParentCollection
1284568,DataSetRelationCollection
1285765,DataRowCollection
1286242,s_zeroPropertyDescriptorCollection
1286417,DataTableCollection
1286997,trackAddRemove
1287147,ChildRelationCollectionChanged
1287178,ParentRelationCollectionChanged
1287210,ColumnCollectionChanged
1287234,ColumnCollectionChangedInternal
1287840,_dataViewSettingsCollection
1288140,DataViewSettingCollection
1291477,PropertyCollection
1294483,track
1297429,_isTableLevel
1298253,CreateToplevelTables
1298964,_topLevelTables
1303724,changeTracking
1303739,revertibleChangeTracking
1305533,SongHash
1305880,DataMiningCollectionInformation
1305912,collectionIcon
1306061,GetCollectionControl
1306106,levelStartInfo
1306121,levelResultInfo
1306517,unlockedType
1306530,IsAvatarUnlocked
1306547,getSong
1306607,CollectionItemIndex
1306694,IllustrationInfo
1306711,ImportCollections
1306765,getKeyFromSongsBase
1310772,Chapter
1310780,chapterCode
1310792,songInfo
1310801,unlockInfo
1310812,ChapterSongInfo
1310828,get_songsBypassLimited
1310851,set_songsBypassLimited
1310890,songs
1310896,<songsBypassLimited>k__BackingField
1310932,songsBypassLimited
1310951,ChapterSongItem
1310967,songsId
1310975,unlockType
1311008,ChapterSelectorUnlockInfo
1311034,unlockMode
1311045,unlockFlag
1311056,unlockTip
1311112,LevelMods
1311122,levelMods
1311132,ChartUnlock
1311144,ChartPath
1311154,SongAllComboBase
1311183,unlockedTimes
1311207,unlockTimes
1311219,LevelRecord
1311231,levelResult
1311256,SongUpdate
1311275,songsMovedToSingles
1311295,songsAddLegacy
1311354,SongBase
1311363,get_AllSongs
1311376,get_AllSongsBypassLimited
1311402,get_AllSongsBypassLimitedAndOthers
1311437,mainSongs
1311447,extraSongs
1311458,sideStorySongs
1311473,otherSongs
1311484,allSongs
1311550,AllSongs
1311559,AllSongsBypassLimited
