path,type,semanticRole,confidence,evidence,relatedFiles,rhythmArchiveRelevance
META-INF/com/android/build/gradle/app-metadata.properties,Text-like,APK signing/provenance metadata,confirmed,META-INF path and ZIP role,AndroidManifest.xml,audit provenance only; never publish
classes.dex,DEX,Android/Dalvik bytecode,confirmed,DEX magic and classes*.dex path,AndroidManifest.xml;lib/*,Android shell only
assets/aa/AddressablesLink/link.xml,Text/xml,Unity Addressables/link preservation map,confirmed,link.xml preserves Assembly-CSharp ChartNote and Unity Texture2D/Sprite/TextAsset/AudioClip types,assets/aa/catalog.json;assets/bin/Data/Managed/Metadata/global-metadata.dat,code/serialization evidence for extractor design
assets/aa/Android/0001488b03e729136338f081478beb81.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00c058bcc713038c1a45a9c72737d56a.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00c1925eb091b2b3bc55100d15a762c2.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00c7a7ed48e7444964562a038af4ba28.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00e9f0703994eecb92339ac5dfc222a4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00f325a7d0c42ede9a8fb39a3642e1f0.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/00ff3c028eac5f12408d9db2a3490f7b.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/012377411e39f35c22e464a7bd504e71.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01367117acdca28729565fb4043c0887.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0144ae9c2af0e9052f2d7321bde0fecf.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01728f62716ce15a451588f616fa55d4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/018f410dabe6f116f657afb1c1508e5f.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0199cf235e43a0fe2c37ca19fd54dc3e.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01c332e88491f117becdb80a9db3d950.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01cfd8129ea5d6c94419f5e1dc0f2ca4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01d56fe0886200058223c99f7431b1d4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01db9728509bd8ff74bc5f0d6fb7d407.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/020ca77f4a9c50c6ed04dc63402cfc48.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0292a0565d385ac9122ec6cebc00cc09.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02c6b3d53eb561a8fc882de0e5260490.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02cf98dbe24339db17694686847231ca.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02e7e3473113390a0814cd65505fded5.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/02fc8f652f202d1902ef7df861356709.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/036407b89ca165baa3f99d775ef8cebd.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/037e66c15d58b0f1303ab932d30f8aab.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/038deca51c5f4052eeacd183ce40ced3.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04687b9f9b0a7b069666978a524bfb69.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04796b90727e7d862af38941dbc2a89f.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04932a222c746fa7cc2e6fe127c5fd59.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/049e111c05a291249768a06f376a4342.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04a098c33cd0f3eb5158d5d6ca846046.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04b04a09bd19084184e1cc62c05edeb4.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/04d973243118495c83c0ff63479e65db.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0519b5085b7cd884134daf76c8e064c5.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/052748b967e6c150c339558ceb946405.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/054e13e05a5628a5742ba03a43487b40.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/054ef9f173b435078c3faa4c3d1c7f6c.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/056ce8fc4ccdb683a3c157c41d3f8d09.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/05a5f9cb8d1641560d3017dcf8989d55.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/05a8f69931dd8e011656196b2b31bafc.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/05ba0535594430230cf8c97ade33bbdb.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/05cee7da06678bfee624d453b9e7c3e7.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/060e612971adde818a786490fa19c992.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0610cd7807131faf6c3055b99a9fe792.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/06d39d6b60055628637ecf93c282e0ed.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0700ba9d3eba3d181f1948e2cafef9e0.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07074e443fc3b813362002323ea1563f.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0712216814a196703e86303457294400.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0730f625e2b95eb41b7feb3f9e523b33.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/074114b24e9652c437858b88f8ddb71a.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/074fd512bba0f12a1ed14fbc66671e52.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/0756a4ad015cc45f99a46a20760f67e0.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/075a9a2a7b418f1b09b444cf001b638e.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/076fab32b33664dea8f7e272515b1aec.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07af7ead17b1c913e7a58b74e4fccff3.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07c19e1d68359df0f81ec04fec340ce1.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07dbb703ad9a5e9ff1ddc5325b5d3941.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
assets/aa/Android/07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,UnityFS,UnityFS Addressables asset bundle,confirmed,"UnityFS magic and 2022.3.62f2 bundle header; 2,514 bundles indexed with UnityPy",assets/aa/catalog.json;assets/aa/settings.json,primary Phigros asset source; bundle hash is content/build-specific
