path,type,semanticRole,confidence,evidence,relatedFiles,rhythmArchiveRelevance
lib/armeabi-v7a/libcrashlytics.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libdatastore_shared_counter.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libfmod.so,ELF,FMOD audio native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libfmodProvider.so,ELF,FMOD audio native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
assets/Default/Button_Disable.png,PNG,Arcaea default UI image,high,assets/Default path plus image magic,assets/layouts/*,UI support only
assets/Default/Button_Normal.png,PNG,Arcaea default UI image,high,assets/Default path plus image magic,assets/layouts/*,UI support only
assets/Default/Button_Press.png,PNG,Arcaea default UI image,high,assets/Default path plus image magic,assets/layouts/*,UI support only
assets/Default/ImageFile.png,PNG,Arcaea default UI image,high,assets/Default path plus image magic,assets/layouts/*,UI support only
assets/Default/Sprite.png,PNG,Arcaea default UI image,high,assets/Default path plus image magic,assets/layouts/*,UI support only
assets/Default/defaultParticle.plist,XML,Arcaea particle/model auxiliary,high,extension and assets/particle or assets/models path,assets/img/*;assets/layouts/*,runtime support only
assets/Fonts/Exo-Light.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/Exo-Medium.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/Exo-Regular.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/Exo-SemiBold.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/GeosansLight-Oblique.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/GeosansLight.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/L2-Light.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/L2-Regular.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/L2-Semibold.ttf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NanumBarunGothic-Bold.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NanumBarunGothic-Light.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NanumBarunGothic-Regular.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKsc-Bold.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKsc-Light.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKsc-Regular.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKtc-Bold.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKtc-Light.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/Fonts/NotoSansCJKtc-Regular.otf,Binary,Arcaea font asset,confirmed,font path and OTF/TTF type,assets/tl/*,UI support only
assets/app-data/story/cg/0-3.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/1-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/1-8.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/1-ZR.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/10-5.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/11-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/11-8-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/11-8-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/12-6-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/12-6-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/12-X.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/15-4.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/16-7-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/16-7-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/16-8.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/17-6-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/17-6-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/18-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/18-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/18-6.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/18-7.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/18-8.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/2-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/2-8.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/2-D.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/20-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/20-4.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/20-6.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/21-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/21-3.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/21-5-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/21-5-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/22-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/22-2-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/22-2-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/22-4.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/22-5.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/23-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/23-7.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/23-8.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/3-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/4-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/4-7.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/5-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/5-6.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/7-6.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/9-5.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/99-6.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/E-1_epilogue.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/E-2_epilogue.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/E-4_epilogue.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/F-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/F-5.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/F-7-1.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/F-7-2.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/F-7.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/cg/V-10.jpg,JPEG,Arcaea story CG,high,assets/app-data/story/cg path plus JPEG/PNG image magic and 1920x1080 samples,assets/app-data/story/*entries*;assets/app-data/story/vn/*,story-cg gallery category
assets/app-data/story/main/entries_0,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_1,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_100,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_101,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_102,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_103,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_2,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_20,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/entries_23,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/main/epilogue.csb,Binary,Arcaea Cocos2d-x/Cocos Studio UI scene,high,assets/layouts or .csb path; family is segregated from images and metadata,assets/img/*;assets/startup/*,UI support only
assets/app-data/story/main/f.csb,Binary,Arcaea Cocos2d-x/Cocos Studio UI scene,high,assets/layouts or .csb path; family is segregated from images and metadata,assets/img/*;assets/startup/*,UI support only
assets/app-data/story/main/vn,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/paths,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_10,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_11,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_12,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_13,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_14,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_15,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_16,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_17,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_18,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_21,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_22,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_3,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_4,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_5,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_6,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_7,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_8,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_9,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/entries_99,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/side/vn,JSON-like,Arcaea story metadata/config,high,assets/app-data/story path and JSON-like/content probe; entries/paths/VN indexes identified,assets/app-data/story/*.vns;assets/app-data/story/cg/*,story title/act/related-song metadata candidate
assets/app-data/story/vn/epilogue_last_en.vns,Text-like,Arcaea localized visual-novel script,confirmed,assets/app-data/story/vn/*.vns path and sampled text commands show/hide/say/wait,assets/app-data/story/main/*;assets/app-data/story/side/*;assets/app-data/story/cg/*,story text/localization source; not a public gallery image
