assetPath,resourceFamily,localeSuffix,rawLocaleSuffix,normalizedLocale,assetRole,evidence,confidence,note
assets/img/multiplayer/stickers/ilith_tc.png,ilith,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/ilith_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kanae_en.png,kanae,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/kanae_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kanae_jp.png,kanae,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/kanae_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kanae_kr.png,kanae,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/kanae_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kanae_sc.png,kanae,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/kanae_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kanae_tc.png,kanae,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/kanae_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou2_en.png,kou2,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/kou2_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou2_jp.png,kou2,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/kou2_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou2_kr.png,kou2,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/kou2_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou2_sc_tc.png,kou2,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/kou2_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou_en.png,kou,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/kou_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou_jp.png,kou,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/kou_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou_kr.png,kou,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/kou_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/kou_sc_tc.png,kou,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/kou_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lagrange_en.png,lagrange,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/lagrange_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lagrange_jp.png,lagrange,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/lagrange_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lagrange_kr.png,lagrange,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/lagrange_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lagrange_sc.png,lagrange,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/lagrange_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lagrange_tc.png,lagrange,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/lagrange_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lethe_en.png,lethe,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/lethe_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lethe_jp.png,lethe,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/lethe_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lethe_kr.png,lethe,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/lethe_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lethe_sc.png,lethe,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/lethe_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/lethe_tc.png,lethe,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/lethe_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/luna_en.png,luna,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/luna_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/luna_jp.png,luna,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/luna_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/luna_kr.png,luna,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/luna_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/luna_sc_tc.png,luna,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/luna_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/maya.png,maya,unsuffixed,,,multiplayer-sticker,assets/img/multiplayer/stickers/maya.png,High,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/mir_en.png,mir,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/mir_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/mir_jp.png,mir,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/mir_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/mir_kr.png,mir,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/mir_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/mir_sc.png,mir,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/mir_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/mir_tc.png,mir,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/mir_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami2_en.png,nami2,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/nami2_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami2_jp.png,nami2,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/nami2_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami2_kr.png,nami2,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/nami2_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami2_sc_tc.png,nami2,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/nami2_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami_en.png,nami,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/nami_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami_jp.png,nami,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/nami_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami_kr.png,nami,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/nami_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/nami_sc_tc.png,nami,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/nami_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/saya_en.png,saya,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/saya_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/saya_jp.png,saya,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/saya_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/saya_kr.png,saya,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/saya_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/saya_sc.png,saya,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/saya_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/saya_tc.png,saya,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/saya_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirabe_en.png,shirabe,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/shirabe_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirabe_jp.png,shirabe,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/shirabe_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirabe_kr.png,shirabe,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/shirabe_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirabe_sc.png,shirabe,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/shirabe_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirabe_tc.png,shirabe,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/shirabe_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirahime_en.png,shirahime,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/shirahime_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirahime_jp.png,shirahime,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/shirahime_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirahime_kr.png,shirahime,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/shirahime_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirahime_sc.png,shirahime,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/shirahime_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/shirahime_tc.png,shirahime,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/shirahime_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu2.png,tairitsu2,unsuffixed,,,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu2.png,High,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu_en.png,tairitsu,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu_jp.png,tairitsu,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu_kr.png,tairitsu,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu_sc.png,tairitsu,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/tairitsu_tc.png,tairitsu,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/tairitsu_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/vita_en.png,vita,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/vita_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/vita_jp.png,vita,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/vita_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/vita_kr.png,vita,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/vita_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/vita_sc_tc.png,vita,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/vita_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/char/-1_mp.png,-1,,,,linkplay-character-preview,assets/char/-1_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/0_mp.png,0,,,,linkplay-character-preview,assets/char/0_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/0o_mp.png,0o,,,,linkplay-character-preview,assets/char/0o_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/0u_mp.png,0u,,,,linkplay-character-preview,assets/char/0u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/10_mp.png,10,,,,linkplay-character-preview,assets/char/10_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/10u_mp.png,10u,,,,linkplay-character-preview,assets/char/10u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/11_mp.png,11,,,,linkplay-character-preview,assets/char/11_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/11u_mp.png,11u,,,,linkplay-character-preview,assets/char/11u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/12_mp.png,12,,,,linkplay-character-preview,assets/char/12_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/12u_mp.png,12u,,,,linkplay-character-preview,assets/char/12u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/13_mp.png,13,,,,linkplay-character-preview,assets/char/13_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/13u_mp.png,13u,,,,linkplay-character-preview,assets/char/13u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/14_mp.png,14,,,,linkplay-character-preview,assets/char/14_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/15_mp.png,15,,,,linkplay-character-preview,assets/char/15_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/16_mp.png,16,,,,linkplay-character-preview,assets/char/16_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/17_mp.png,17,,,,linkplay-character-preview,assets/char/17_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/18_mp.png,18,,,,linkplay-character-preview,assets/char/18_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/18a_mp.png,18a,,,,linkplay-character-preview,assets/char/18a_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/19_mp.png,19,,,,linkplay-character-preview,assets/char/19_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/19u_mp.png,19u,,,,linkplay-character-preview,assets/char/19u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/1_mp.png,1,,,,linkplay-character-preview,assets/char/1_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/1l_mp.png,1l,,,,linkplay-character-preview,assets/char/1l_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/1o_mp.png,1o,,,,linkplay-character-preview,assets/char/1o_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/1u_mp.png,1u,,,,linkplay-character-preview,assets/char/1u_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/20_mp.png,20,,,,linkplay-character-preview,assets/char/20_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
assets/char/20a_mp.png,20a,,,,linkplay-character-preview,assets/char/20a_mp.png,High,character _mp path is a multiplayer preview; -1_mp is a placeholder candidate
