candidateType,candidate,trackFolder,title,artist,indexRaw,uniqueWithinCurrentApk,crossVersionValidated,renameResistance,extractability,phase6Suitability,confidence,evidence
full-track-folder,Assets/Tracks/000AinSophAur.Yumeji.0/,000AinSophAur.Yumeji.0,000AinSophAur,Yumeji,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/000AinSophAur.Yumeji.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Aleph0.LeaF.0/,Aleph0.LeaF.0,Aleph0,LeaF,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Aleph0.LeaF.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/,Aliceinaxxxxxxxx.Nagiha.0,Aliceinaxxxxxxxx,Nagiha,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AnotherMe.DAAN.0/,AnotherMe.DAAN.0,AnotherMe,DAAN,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AnotherMe.DAAN.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AnotherMe.NeutralMoon.0/,AnotherMe.NeutralMoon.0,AnotherMe,NeutralMoon,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AnotherMe.NeutralMoon.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AnotherRound.JustinDai.0/,AnotherRound.JustinDai.0,AnotherRound,JustinDai,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AnotherRound.JustinDai.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Antithese.Blacklolita.0/,Antithese.Blacklolita.0,Antithese,Blacklolita,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Antithese.Blacklolita.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Aphasia.闫东炜.0/,Aphasia.闫东炜.0,Aphasia,闫东炜,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Aphasia.闫东炜.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AphroditesChildshortver.RUQOA.0/,AphroditesChildshortver.RUQOA.0,AphroditesChildshortver,RUQOA,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AphroditesChildshortver.RUQOA.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Apocalypse.アリスシャッハと魔法の楽団.0/,Apocalypse.アリスシャッハと魔法の楽団.0,Apocalypse,アリスシャッハと魔法の楽団,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Apocalypse.アリスシャッハと魔法の楽団.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Apocalyptic.ZClaxxSumaiLight.0/,Apocalyptic.ZClaxxSumaiLight.0,Apocalyptic,ZClaxxSumaiLight,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Apocalyptic.ZClaxxSumaiLight.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Archidoxen.Se_IRA.0/,Archidoxen.Se_IRA.0,Archidoxen,Se_IRA,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Archidoxen.Se_IRA.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Ark.kanoryo.0/,Ark.kanoryo.0,Ark,kanoryo,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Ark.kanoryo.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Arkhei.SeraAmagi.0/,Arkhei.SeraAmagi.0,Arkhei,SeraAmagi,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Arkhei.SeraAmagi.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ArtificialExistence.JunKuroda.0/,ArtificialExistence.JunKuroda.0,ArtificialExistence,JunKuroda,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ArtificialExistence.JunKuroda.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AvataarReincarnationofKalpa.ScarletteakaCrYmson.0/,AvataarReincarnationofKalpa.ScarletteakaCrYmson.0,AvataarReincarnationofKalpa,ScarletteakaCrYmson,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AvataarReincarnationofKalpa.ScarletteakaCrYmson.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Aventyr.GrandThawRigelTheatre.0/,Aventyr.GrandThawRigelTheatre.0,Aventyr,GrandThawRigelTheatre,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Aventyr.GrandThawRigelTheatre.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BANGINGSTRIKE.DewPleiades.0/,BANGINGSTRIKE.DewPleiades.0,BANGINGSTRIKE,DewPleiades,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BANGINGSTRIKE.DewPleiades.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BRAINHACKER.SOMON.0/,BRAINHACKER.SOMON.0,BRAINHACKER,SOMON,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BRAINHACKER.SOMON.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦.0/,BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦.0,BelieveLightfeat果丸哒呦,ScalerMestie果丸哒呦,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BetterGraphicAnimation.ルゼ.0/,BetterGraphicAnimation.ルゼ.0,BetterGraphicAnimation,ルゼ,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BetterGraphicAnimation.ルゼ.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Bitterblossom.imvi.0/,Bitterblossom.imvi.0,Bitterblossom,imvi,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Bitterblossom.imvi.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Bloom.targ麻团qwq.0/,Bloom.targ麻团qwq.0,Bloom,targ麻团qwq,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Bloom.targ麻团qwq.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BonusTime.MegaloPaleWhite.0/,BonusTime.MegaloPaleWhite.0,BonusTime,MegaloPaleWhite,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BonusTime.MegaloPaleWhite.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Bougainvillea.Jade.0/,Bougainvillea.Jade.0,Bougainvillea,Jade,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Bougainvillea.Jade.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BoundedQuietude.FiniteLimitvsSiLiS.0/,BoundedQuietude.FiniteLimitvsSiLiS.0,BoundedQuietude,FiniteLimitvsSiLiS,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BoundedQuietude.FiniteLimitvsSiLiS.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BraveNotes.TurquoiseDRIVENota.0/,BraveNotes.TurquoiseDRIVENota.0,BraveNotes,TurquoiseDRIVENota,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BraveNotes.TurquoiseDRIVENota.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BreakOver.Kforest.0/,BreakOver.Kforest.0,BreakOver,Kforest,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BreakOver.Kforest.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BreakThroughTheBarrier.lixound.0/,BreakThroughTheBarrier.lixound.0,BreakThroughTheBarrier,lixound,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BreakThroughTheBarrier.lixound.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/BrokenSky.JungoMAX3feat刘佳宜Snow幻影刃shadow.0/,BrokenSky.JungoMAX3feat刘佳宜Snow幻影刃shadow.0,BrokenSky,JungoMAX3feat刘佳宜Snow幻影刃shadow,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/BrokenSky.JungoMAX3feat刘佳宜Snow幻影刃shadow.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Burn.NceS.0/,Burn.NceS.0,Burn,NceS,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Burn.NceS.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/CROSSSOUL.HyuNfeatSyepias.0/,CROSSSOUL.HyuNfeatSyepias.0,CROSSSOUL,HyuNfeatSyepias,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/CROSSSOUL.HyuNfeatSyepias.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cereris.SunsetRayNceS.0/,Cereris.SunsetRayNceS.0,Cereris,SunsetRayNceS,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cereris.SunsetRayNceS.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/CervelleConnexion.SCTL.0/,CervelleConnexion.SCTL.0,CervelleConnexion,SCTL,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/CervelleConnexion.SCTL.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Chronologika.Hundotte.0/,Chronologika.Hundotte.0,Chronologika,Hundotte,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Chronologika.Hundotte.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Chronomia.Lime.0/,Chronomia.Lime.0,Chronomia,Lime,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Chronomia.Lime.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ChronosCollapseLaCampanella.SunsetRay.0/,ChronosCollapseLaCampanella.SunsetRay.0,ChronosCollapseLaCampanella,SunsetRay,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ChronosCollapseLaCampanella.SunsetRay.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Chronostasis.黒皇帝.0/,Chronostasis.黒皇帝.0,Chronostasis,黒皇帝,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Chronostasis.黒皇帝.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cipher20.TetrajectoryfeatCtymax.0/,Cipher20.TetrajectoryfeatCtymax.0,Cipher20,TetrajectoryfeatCtymax,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cipher20.TetrajectoryfeatCtymax.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ClassMemories.AntistarfeatCtymax.0/,ClassMemories.AntistarfeatCtymax.0,ClassMemories,AntistarfeatCtymax,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ClassMemories.AntistarfeatCtymax.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cleyera.Riya.0/,Cleyera.Riya.0,Cleyera,Riya,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cleyera.Riya.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ClockParadox.WyvernP.0/,ClockParadox.WyvernP.0,ClockParadox,WyvernP,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ClockParadox.WyvernP.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ColorfulDays.P4koofeatつゆり花鈴.0/,ColorfulDays.P4koofeatつゆり花鈴.0,ColorfulDays,P4koofeatつゆり花鈴,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ColorfulDays.P4koofeatつゆり花鈴.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/CometFeat符白牙.CNHKSS.0/,CometFeat符白牙.CNHKSS.0,CometFeat符白牙,CNHKSS,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/CometFeat符白牙.CNHKSS.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0/,ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0,ComputeItWithSomeDevilishAlcoholicSteampunkEngines,かめりあ,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Concvssion.Halv.0/,Concvssion.Halv.0,Concvssion,Halv,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Concvssion.Halv.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/CraveWave.LandRoot.0/,CraveWave.LandRoot.0,CraveWave,LandRoot,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/CraveWave.LandRoot.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Credits.Frums.0/,Credits.Frums.0,Credits,Frums,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Credits.Frums.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cristalisia.onoken.0/,Cristalisia.onoken.0,Cristalisia,onoken,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cristalisia.onoken.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/CrushBETA.shadow_bling.0/,CrushBETA.shadow_bling.0,CrushBETA,shadow_bling,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/CrushBETA.shadow_bling.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cthugha.USAO.0/,Cthugha.USAO.0,Cthugha,USAO,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cthugha.USAO.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Cuvism.Fl00tvsHalv.0/,Cuvism.Fl00tvsHalv.0,Cuvism,Fl00tvsHalv,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Cuvism.Fl00tvsHalv.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DESTRUCTION321.Normal1zervsBrokenNerdz.0/,DESTRUCTION321.Normal1zervsBrokenNerdz.0,DESTRUCTION321,Normal1zervsBrokenNerdz,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DESTRUCTION321.Normal1zervsBrokenNerdz.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DancewithSilence.かめりあ.0/,DancewithSilence.かめりあ.0,DancewithSilence,かめりあ,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DancewithSilence.かめりあ.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Dash.小红Akane李祥辉.0/,Dash.小红Akane李祥辉.0,Dash,小红Akane李祥辉,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Dash.小红Akane李祥辉.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DataErr0r.Cosmograph.0/,DataErr0r.Cosmograph.0,DataErr0r,Cosmograph,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DataErr0r.Cosmograph.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DeadSoul.SoundSouler.0/,DeadSoul.SoundSouler.0,DeadSoul,SoundSouler,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DeadSoul.SoundSouler.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Demiurge.Rabpit.0/,Demiurge.Rabpit.0,Demiurge,Rabpit,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Demiurge.Rabpit.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Demonkin.ForgedReigns.0/,Demonkin.ForgedReigns.0,Demonkin,ForgedReigns,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Demonkin.ForgedReigns.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DerRichter.Ωμεγα.0/,DerRichter.Ωμεγα.0,DerRichter,Ωμεγα,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DerRichter.Ωμεγα.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DerSchneid.Ωμεγα.0/,DerSchneid.Ωμεγα.0,DerSchneid,Ωμεγα,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DerSchneid.Ωμεγα.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DevIAtiOnshortver.polysha.0/,DevIAtiOnshortver.polysha.0,DevIAtiOnshortver,polysha,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DevIAtiOnshortver.polysha.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Devotion.Connexio.0/,Devotion.Connexio.0,Devotion,Connexio,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Devotion.Connexio.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DiamondDust.MasahiroGodspeedAoki.0/,DiamondDust.MasahiroGodspeedAoki.0,DiamondDust,MasahiroGodspeedAoki,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DiamondDust.MasahiroGodspeedAoki.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DiamondEyes.SYNTHETIC.0/,DiamondEyes.SYNTHETIC.0,DiamondEyes,SYNTHETIC,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DiamondEyes.SYNTHETIC.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Disorder.HyuNfeatYURI.0/,Disorder.HyuNfeatYURI.0,Disorder,HyuNfeatYURI,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Disorder.HyuNfeatYURI.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DistortedFate.Sakuzyo.0/,DistortedFate.Sakuzyo.0,DistortedFate,Sakuzyo,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DistortedFate.Sakuzyo.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Dlyrotz.Likey.0/,Dlyrotz.Likey.0,Dlyrotz,Likey,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Dlyrotz.Likey.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DontNeverAround.HAMA.0/,DontNeverAround.HAMA.0,DontNeverAround,HAMA,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DontNeverAround.HAMA.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Doppelganger.LeaF.0/,Doppelganger.LeaF.0,Doppelganger,LeaF,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Doppelganger.LeaF.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Dreamland.z1onkyrrin.0/,Dreamland.z1onkyrrin.0,Dreamland,z1onkyrrin,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Dreamland.z1onkyrrin.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/DropIt.Asuka.0/,DropIt.Asuka.0,DropIt,Asuka,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/DropIt.Asuka.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ENERGYSYNERGYMATRIX.Tanchiky.0/,ENERGYSYNERGYMATRIX.Tanchiky.0,ENERGYSYNERGYMATRIX,Tanchiky,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ENERGYSYNERGYMATRIX.Tanchiky.0/; 2 catalog rows for Illustration key
