typeIndex,namespace,typeName,fullName,fieldStart,fieldCount,methodStart,methodCount,fields,methods,flags,bitfield,token,metadataConfidence,evidence
1604,System.Collections.ObjectModel,Collection`1,System.Collections.ObjectModel.Collection`1,6835,1,12803,34,items,.ctor;.ctor;get_Count;get_Items;get_Item;set_Item;Add;Clear;CopyTo;Contains;GetEnumerator;IndexOf;Insert;Remove;RemoveAt;ClearItems;InsertItem;RemoveItem;SetItem;System.Collections.Generic.ICollection<T>.get_IsReadOnly;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.CopyTo;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Add;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.Remove;IsCompatibleObject,1056769,3072,33556037,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1605,System.Collections.ObjectModel,ReadOnlyCollection`1,System.Collections.ObjectModel.ReadOnlyCollection`1,6836,2,12837,31,list;_syncRoot,.ctor;get_Count;get_Item;Contains;CopyTo;GetEnumerator;IndexOf;System.Collections.Generic.ICollection<T>.get_IsReadOnly;System.Collections.Generic.IList<T>.get_Item;System.Collections.Generic.IList<T>.set_Item;System.Collections.Generic.ICollection<T>.Add;System.Collections.Generic.ICollection<T>.Clear;System.Collections.Generic.IList<T>.Insert;System.Collections.Generic.ICollection<T>.Remove;System.Collections.Generic.IList<T>.RemoveAt;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.CopyTo;System.Collections.IList.get_IsFixedSize;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.Add;System.Collections.IList.Clear;IsCompatibleObject;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.Remove;System.Collections.IList.RemoveAt,1056769,3072,33556038,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1606,System.Collections.ObjectModel,KeyedCollection`2,System.Collections.ObjectModel.KeyedCollection`2,6838,4,12868,16,comparer;dict;keyCount;threshold,.ctor;.ctor;.ctor;get_Items;get_Item;Contains;TryGetValue;get_Dictionary;ClearItems;GetKeyForItem;InsertItem;RemoveItem;SetItem;AddKey;CreateDictionary;RemoveKey,1056897,3072,33556039,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1608,,KeyCollection,KeyCollection,6848,2,12929,14,_collection;_syncRoot,.ctor;System.Collections.Generic.ICollection<TKey>.Add;System.Collections.Generic.ICollection<TKey>.Clear;System.Collections.Generic.ICollection<TKey>.Contains;CopyTo;get_Count;System.Collections.Generic.ICollection<TKey>.get_IsReadOnly;System.Collections.Generic.ICollection<TKey>.Remove;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;.ctor,1057026,3072,33556042,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1609,,ValueCollection,ValueCollection,6850,2,12943,14,_collection;_syncRoot,.ctor;System.Collections.Generic.ICollection<TValue>.Add;System.Collections.Generic.ICollection<TValue>.Clear;System.Collections.Generic.ICollection<TValue>.Contains;CopyTo;get_Count;System.Collections.Generic.ICollection<TValue>.get_IsReadOnly;System.Collections.Generic.ICollection<TValue>.Remove;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;.ctor,1057026,3072,33556043,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1610,System.Collections.ObjectModel,ReadOnlyDictionary`2,System.Collections.ObjectModel.ReadOnlyDictionary`2,6842,4,12884,38,m_dictionary;_syncRoot;_keys;_values,".ctor;get_Keys;get_Values;ContainsKey;System.Collections.Generic.IDictionary<TKey,TValue>.get_Keys;TryGetValue;System.Collections.Generic.IDictionary<TKey,TValue>.get_Values;get_Item;System.Collections.Generic.IDictionary<TKey,TValue>.Add;System.Collections.Generic.IDictionary<TKey,TValue>.Remove;System.Collections.Generic.IDictionary<TKey,TValue>.get_Item;System.Collections.Generic.IDictionary<TKey,TValue>.set_Item;get_Count;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Contains;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.CopyTo;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.get_IsReadOnly;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Add;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Clear;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Remove;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;IsCompatibleKey;System.Collections.IDictionary.Add;System.Collections.IDictionary.Clear;System.Collections.IDictionary.Contains;System.Collections.IDictionary.GetEnumerator;System.Collections.IDictionary.get_IsFixedSize;System.Collections.IDictionary.get_IsReadOnly;System.Collections.IDictionary.get_Keys;System.Collections.IDictionary.Remove;System.Collections.IDictionary.get_Values;System.Collections.IDictionary.get_Item;System.Collections.IDictionary.set_Item;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.Generic.IReadOnlyDictionary<TKey,TValue>.get_Keys;System.Collections.Generic.IReadOnlyDictionary<TKey,TValue>.get_Values",1056769,3072,33556040,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1611,System.Collections.ObjectModel,ReadOnlyDictionaryHelpers,System.Collections.ObjectModel.ReadOnlyDictionaryHelpers,4294967295,0,12957,1,,CopyToNonGenericICollectionHelper,1048960,3072,33556044,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1612,System.Collections.Generic,InsertionBehavior,System.Collections.Generic.InsertionBehavior,6852,4,4294967295,0,value__;None;OverwriteExisting;ThrowOnExisting,,256,3091,33556045,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1616,,KeyCollection,KeyCollection,6879,1,13021,14,_dictionary,.ctor;GetEnumerator;CopyTo;get_Count;System.Collections.Generic.ICollection<TKey>.get_IsReadOnly;System.Collections.Generic.ICollection<TKey>.Add;System.Collections.Generic.ICollection<TKey>.Clear;System.Collections.Generic.ICollection<TKey>.Contains;System.Collections.Generic.ICollection<TKey>.Remove;System.Collections.Generic.IEnumerable<TKey>.GetEnumerator;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot,1057026,3072,33556049,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1618,,ValueCollection,ValueCollection,6884,1,13041,14,_dictionary,.ctor;GetEnumerator;CopyTo;get_Count;System.Collections.Generic.ICollection<TValue>.get_IsReadOnly;System.Collections.Generic.ICollection<TValue>.Add;System.Collections.Generic.ICollection<TValue>.Remove;System.Collections.Generic.ICollection<TValue>.Clear;System.Collections.Generic.ICollection<TValue>.Contains;System.Collections.Generic.IEnumerable<TValue>.GetEnumerator;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot,1057026,3072,33556051,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
